
 Event Time in Mabp  , 14                  , HC Masses in Tons   ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 8                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 12                  , 1                   , Remaining           ,
 12                  , 1                   , Primary             ,
 12                  , 1                   , Secondary In        ,
 12                  , 1                   , Secondary Out       ,
 12                  , 1                   , Liquid              ,
 12                  , 1                   , Vapor               ,
 12                  , 1                   , Water               ,
 12                  , 1                   , Adsorbed            ,
 12                  , 1                   , Inflow              ,
 12                  , 1                   , Outflow             ,
 12                  , 1                   , Top Outflow Layer   ,
 12                  , 1                   , Sid Outflow Layer   ,
 11                  , 2                   , Remaining           ,
 11                  , 2                   , Primary             ,
 11                  , 2                   , Secondary In        ,
 11                  , 2                   , Secondary Out       ,
 11                  , 2                   , Liquid              ,
 11                  , 2                   , Vapor               ,
 11                  , 2                   , Water               ,
 11                  , 2                   , Adsorbed            ,
 11                  , 2                   , Inflow              ,
 11                  , 2                   , Outflow             ,
 11                  , 2                   , Top Outflow Layer   ,
 11                  , 2                   , Sid Outflow Layer   ,
 10                  , 3                   , Remaining           ,
 10                  , 3                   , Primary             ,
 10                  , 3                   , Secondary In        ,
 10                  , 3                   , Secondary Out       ,
 10                  , 3                   , Liquid              ,
 10                  , 3                   , Vapor               ,
 10                  , 3                   , Water               ,
 10                  , 3                   , Adsorbed            ,
 10                  , 3                   , Inflow              ,
 10                  , 3                   , Outflow             ,
 10                  , 3                   , Top Outflow Layer   ,
 10                  , 3                   , Sid Outflow Layer   ,
 9                   , 4                   , Remaining           ,
 9                   , 4                   , Primary             ,
 9                   , 4                   , Secondary In        ,
 9                   , 4                   , Secondary Out       ,
 9                   , 4                   , Liquid              ,
 9                   , 4                   , Vapor               ,
 9                   , 4                   , Water               ,
 9                   , 4                   , Adsorbed            ,
 9                   , 4                   , Inflow              ,
 9                   , 4                   , Outflow             ,
 9                   , 4                   , Top Outflow Layer   ,
 9                   , 4                   , Sid Outflow Layer   ,
 8                   , 5                   , Remaining           ,
 8                   , 5                   , Primary             ,
 8                   , 5                   , Secondary In        ,
 8                   , 5                   , Secondary Out       ,
 8                   , 5                   , Liquid              ,
 8                   , 5                   , Vapor               ,
 8                   , 5                   , Water               ,
 8                   , 5                   , Adsorbed            ,
 8                   , 5                   , Inflow              ,
 8                   , 5                   , Outflow             ,
 8                   , 5                   , Top Outflow Layer   ,
 8                   , 5                   , Sid Outflow Layer   ,
 7                   , 6                   , Remaining           ,
 7                   , 6                   , Primary             ,
 7                   , 6                   , Secondary In        ,
 7                   , 6                   , Secondary Out       ,
 7                   , 6                   , Liquid              ,
 7                   , 6                   , Vapor               ,
 7                   , 6                   , Water               ,
 7                   , 6                   , Adsorbed            ,
 7                   , 6                   , Inflow              ,
 7                   , 6                   , Outflow             ,
 7                   , 6                   , Top Outflow Layer   ,
 7                   , 6                   , Sid Outflow Layer   ,
 6                   , 14                  , Remaining           ,
 6                   , 14                  , Primary             ,
 6                   , 14                  , Secondary In        ,
 6                   , 14                  , Secondary Out       ,
 6                   , 14                  , Liquid              ,
 6                   , 14                  , Vapor               ,
 6                   , 14                  , Water               ,
 6                   , 14                  , Adsorbed            ,
 6                   , 14                  , Inflow              ,
 6                   , 14                  , Outflow             ,
 6                   , 14                  , Top Outflow Layer   ,
 6                   , 14                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 5.33                , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 12                  , 1                   , Remaining           ,
 12                  , 1                   , Primary             ,
 12                  , 1                   , Secondary In        ,
 12                  , 1                   , Secondary Out       ,
 12                  , 1                   , Liquid              ,
 12                  , 1                   , Vapor               ,
 12                  , 1                   , Water               ,
 12                  , 1                   , Adsorbed            ,
 12                  , 1                   , Inflow              ,
 12                  , 1                   , Outflow             ,
 12                  , 1                   , Top Outflow Layer   ,
 12                  , 1                   , Sid Outflow Layer   ,
 11                  , 2                   , Remaining           ,
 11                  , 2                   , Primary             ,
 11                  , 2                   , Secondary In        ,
 11                  , 2                   , Secondary Out       ,
 11                  , 2                   , Liquid              ,
 11                  , 2                   , Vapor               ,
 11                  , 2                   , Water               ,
 11                  , 2                   , Adsorbed            ,
 11                  , 2                   , Inflow              ,
 11                  , 2                   , Outflow             ,
 11                  , 2                   , Top Outflow Layer   ,
 11                  , 2                   , Sid Outflow Layer   ,
 10                  , 3                   , Remaining           ,
 10                  , 3                   , Primary             ,
 10                  , 3                   , Secondary In        ,
 10                  , 3                   , Secondary Out       ,
 10                  , 3                   , Liquid              ,
 10                  , 3                   , Vapor               ,
 10                  , 3                   , Water               ,
 10                  , 3                   , Adsorbed            ,
 10                  , 3                   , Inflow              ,
 10                  , 3                   , Outflow             ,
 10                  , 3                   , Top Outflow Layer   ,
 10                  , 3                   , Sid Outflow Layer   ,
 9                   , 4                   , Remaining           ,
 9                   , 4                   , Primary             ,
 9                   , 4                   , Secondary In        ,
 9                   , 4                   , Secondary Out       ,
 9                   , 4                   , Liquid              ,
 9                   , 4                   , Vapor               ,
 9                   , 4                   , Water               ,
 9                   , 4                   , Adsorbed            ,
 9                   , 4                   , Inflow              ,
 9                   , 4                   , Outflow             ,
 9                   , 4                   , Top Outflow Layer   ,
 9                   , 4                   , Sid Outflow Layer   ,
 8                   , 5                   , Remaining           ,
 8                   , 5                   , Primary             ,
 8                   , 5                   , Secondary In        ,
 8                   , 5                   , Secondary Out       ,
 8                   , 5                   , Liquid              ,
 8                   , 5                   , Vapor               ,
 8                   , 5                   , Water               ,
 8                   , 5                   , Adsorbed            ,
 8                   , 5                   , Inflow              ,
 8                   , 5                   , Outflow             ,
 8                   , 5                   , Top Outflow Layer   ,
 8                   , 5                   , Sid Outflow Layer   ,
 7                   , 6                   , Remaining           ,
 7                   , 6                   , Primary             ,
 7                   , 6                   , Secondary In        ,
 7                   , 6                   , Secondary Out       ,
 7                   , 6                   , Liquid              ,
 7                   , 6                   , Vapor               ,
 7                   , 6                   , Water               ,
 7                   , 6                   , Adsorbed            ,
 7                   , 6                   , Inflow              ,
 7                   , 6                   , Outflow             ,
 7                   , 6                   , Top Outflow Layer   ,
 7                   , 6                   , Sid Outflow Layer   ,
 6                   , 14                  , Remaining           ,
 6                   , 14                  , Primary             ,
 6                   , 14                  , Secondary In        ,
 6                   , 14                  , Secondary Out       ,
 6                   , 14                  , Liquid              ,
 6                   , 14                  , Vapor               ,
 6                   , 14                  , Water               ,
 6                   , 14                  , Adsorbed            ,
 6                   , 14                  , Inflow              ,
 6                   , 14                  , Outflow             ,
 6                   , 14                  , Top Outflow Layer   ,
 6                   , 14                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 4.6                 , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 12                  , 1                   , Remaining           ,
 12                  , 1                   , Primary             ,
 12                  , 1                   , Secondary In        ,
 12                  , 1                   , Secondary Out       ,
 12                  , 1                   , Liquid              ,
 12                  , 1                   , Vapor               ,
 12                  , 1                   , Water               ,
 12                  , 1                   , Adsorbed            ,
 12                  , 1                   , Inflow              ,
 12                  , 1                   , Outflow             ,
 12                  , 1                   , Top Outflow Layer   ,
 12                  , 1                   , Sid Outflow Layer   ,
 11                  , 2                   , Remaining           ,
 11                  , 2                   , Primary             ,
 11                  , 2                   , Secondary In        ,
 11                  , 2                   , Secondary Out       ,
 11                  , 2                   , Liquid              ,
 11                  , 2                   , Vapor               ,
 11                  , 2                   , Water               ,
 11                  , 2                   , Adsorbed            ,
 11                  , 2                   , Inflow              ,
 11                  , 2                   , Outflow             ,
 11                  , 2                   , Top Outflow Layer   ,
 11                  , 2                   , Sid Outflow Layer   ,
 10                  , 3                   , Remaining           ,
 10                  , 3                   , Primary             ,
 10                  , 3                   , Secondary In        ,
 10                  , 3                   , Secondary Out       ,
 10                  , 3                   , Liquid              ,
 10                  , 3                   , Vapor               ,
 10                  , 3                   , Water               ,
 10                  , 3                   , Adsorbed            ,
 10                  , 3                   , Inflow              ,
 10                  , 3                   , Outflow             ,
 10                  , 3                   , Top Outflow Layer   ,
 10                  , 3                   , Sid Outflow Layer   ,
 9                   , 4                   , Remaining           ,
 9                   , 4                   , Primary             ,
 9                   , 4                   , Secondary In        ,
 9                   , 4                   , Secondary Out       ,
 9                   , 4                   , Liquid              ,
 9                   , 4                   , Vapor               ,
 9                   , 4                   , Water               ,
 9                   , 4                   , Adsorbed            ,
 9                   , 4                   , Inflow              ,
 9                   , 4                   , Outflow             ,
 9                   , 4                   , Top Outflow Layer   ,
 9                   , 4                   , Sid Outflow Layer   ,
 8                   , 5                   , Remaining           ,
 8                   , 5                   , Primary             ,
 8                   , 5                   , Secondary In        ,
 8                   , 5                   , Secondary Out       ,
 8                   , 5                   , Liquid              ,
 8                   , 5                   , Vapor               ,
 8                   , 5                   , Water               ,
 8                   , 5                   , Adsorbed            ,
 8                   , 5                   , Inflow              ,
 8                   , 5                   , Outflow             ,
 8                   , 5                   , Top Outflow Layer   ,
 8                   , 5                   , Sid Outflow Layer   ,
 7                   , 6                   , Remaining           ,
 7                   , 6                   , Primary             ,
 7                   , 6                   , Secondary In        ,
 7                   , 6                   , Secondary Out       ,
 7                   , 6                   , Liquid              ,
 7                   , 6                   , Vapor               ,
 7                   , 6                   , Water               ,
 7                   , 6                   , Adsorbed            ,
 7                   , 6                   , Inflow              ,
 7                   , 6                   , Outflow             ,
 7                   , 6                   , Top Outflow Layer   ,
 7                   , 6                   , Sid Outflow Layer   ,
 6                   , 14                  , Remaining           ,
 6                   , 14                  , Primary             ,
 6                   , 14                  , Secondary In        ,
 6                   , 14                  , Secondary Out       ,
 6                   , 14                  , Liquid              ,
 6                   , 14                  , Vapor               ,
 6                   , 14                  , Water               ,
 6                   , 14                  , Adsorbed            ,
 6                   , 14                  , Inflow              ,
 6                   , 14                  , Outflow             ,
 6                   , 14                  , Top Outflow Layer   ,
 6                   , 14                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 3.6                 , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 12                  , 1                   , Remaining           ,
 12                  , 1                   , Primary             ,
 12                  , 1                   , Secondary In        ,
 12                  , 1                   , Secondary Out       ,
 12                  , 1                   , Liquid              ,
 12                  , 1                   , Vapor               ,
 12                  , 1                   , Water               ,
 12                  , 1                   , Adsorbed            ,
 12                  , 1                   , Inflow              ,
 12                  , 1                   , Outflow             ,
 12                  , 1                   , Top Outflow Layer   ,
 12                  , 1                   , Sid Outflow Layer   ,
 11                  , 2                   , Remaining           ,
 11                  , 2                   , Primary             ,
 11                  , 2                   , Secondary In        ,
 11                  , 2                   , Secondary Out       ,
 11                  , 2                   , Liquid              ,
 11                  , 2                   , Vapor               ,
 11                  , 2                   , Water               ,
 11                  , 2                   , Adsorbed            ,
 11                  , 2                   , Inflow              ,
 11                  , 2                   , Outflow             ,
 11                  , 2                   , Top Outflow Layer   ,
 11                  , 2                   , Sid Outflow Layer   ,
 10                  , 3                   , Remaining           ,
 10                  , 3                   , Primary             ,
 10                  , 3                   , Secondary In        ,
 10                  , 3                   , Secondary Out       ,
 10                  , 3                   , Liquid              ,
 10                  , 3                   , Vapor               ,
 10                  , 3                   , Water               ,
 10                  , 3                   , Adsorbed            ,
 10                  , 3                   , Inflow              ,
 10                  , 3                   , Outflow             ,
 10                  , 3                   , Top Outflow Layer   ,
 10                  , 3                   , Sid Outflow Layer   ,
 9                   , 4                   , Remaining           ,
 9                   , 4                   , Primary             ,
 9                   , 4                   , Secondary In        ,
 9                   , 4                   , Secondary Out       ,
 9                   , 4                   , Liquid              ,
 9                   , 4                   , Vapor               ,
 9                   , 4                   , Water               ,
 9                   , 4                   , Adsorbed            ,
 9                   , 4                   , Inflow              ,
 9                   , 4                   , Outflow             ,
 9                   , 4                   , Top Outflow Layer   ,
 9                   , 4                   , Sid Outflow Layer   ,
 8                   , 5                   , Remaining           ,
 8                   , 5                   , Primary             ,
 8                   , 5                   , Secondary In        ,
 8                   , 5                   , Secondary Out       ,
 8                   , 5                   , Liquid              ,
 8                   , 5                   , Vapor               ,
 8                   , 5                   , Water               ,
 8                   , 5                   , Adsorbed            ,
 8                   , 5                   , Inflow              ,
 8                   , 5                   , Outflow             ,
 8                   , 5                   , Top Outflow Layer   ,
 8                   , 5                   , Sid Outflow Layer   ,
 7                   , 6                   , Remaining           ,
 7                   , 6                   , Primary             ,
 7                   , 6                   , Secondary In        ,
 7                   , 6                   , Secondary Out       ,
 7                   , 6                   , Liquid              ,
 7                   , 6                   , Vapor               ,
 7                   , 6                   , Water               ,
 7                   , 6                   , Adsorbed            ,
 7                   , 6                   , Inflow              ,
 7                   , 6                   , Outflow             ,
 7                   , 6                   , Top Outflow Layer   ,
 7                   , 6                   , Sid Outflow Layer   ,
 6                   , 14                  , Remaining           ,
 6                   , 14                  , Primary             ,
 6                   , 14                  , Secondary In        ,
 6                   , 14                  , Secondary Out       ,
 6                   , 14                  , Liquid              ,
 6                   , 14                  , Vapor               ,
 6                   , 14                  , Water               ,
 6                   , 14                  , Adsorbed            ,
 6                   , 14                  , Inflow              ,
 6                   , 14                  , Outflow             ,
 6                   , 14                  , Top Outflow Layer   ,
 6                   , 14                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
 2                   , 9                   , Secondary In        ,
 2                   , 9                   , Secondary Out       ,
 2                   , 9                   , Liquid              ,
 2                   , 9                   , Vapor               ,
 2                   , 9                   , Water               ,
 2                   , 9                   , Adsorbed            ,
 2                   , 9                   , Inflow              ,
 2                   , 9                   , Outflow             ,
 2                   , 9                   , Top Outflow Layer   ,
 2                   , 9                   , Sid Outflow Layer   ,
 1                   , 10                  , Remaining           ,
 1                   , 10                  , Primary             ,
 1                   , 10                  , Secondary In        ,
 1                   , 10                  , Secondary Out       ,
 1                   , 10                  , Liquid              ,
 1                   , 10                  , Vapor               ,
 1                   , 10                  , Water               ,
 1                   , 10                  , Adsorbed            ,
 1                   , 10                  , Inflow              ,
 1                   , 10                  , Outflow             ,
 1                   , 10                  , Top Outflow Layer   ,
 1                   , 10                  , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 3                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 12                  , 1                   , Remaining           ,
 12                  , 1                   , Primary             ,
 12                  , 1                   , Secondary In        ,
 12                  , 1                   , Secondary Out       ,
 12                  , 1                   , Liquid              ,
 12                  , 1                   , Vapor               ,
 12                  , 1                   , Water               ,
 12                  , 1                   , Adsorbed            ,
 12                  , 1                   , Inflow              ,
 12                  , 1                   , Outflow             ,
 12                  , 1                   , Top Outflow Layer   ,
 12                  , 1                   , Sid Outflow Layer   ,
 11                  , 2                   , Remaining           ,
 11                  , 2                   , Primary             ,
 11                  , 2                   , Secondary In        ,
 11                  , 2                   , Secondary Out       ,
 11                  , 2                   , Liquid              ,
 11                  , 2                   , Vapor               ,
 11                  , 2                   , Water               ,
 11                  , 2                   , Adsorbed            ,
 11                  , 2                   , Inflow              ,
 11                  , 2                   , Outflow             ,
 11                  , 2                   , Top Outflow Layer   ,
 11                  , 2                   , Sid Outflow Layer   ,
 10                  , 3                   , Remaining           ,
 10                  , 3                   , Primary             ,
 10                  , 3                   , Secondary In        ,
 10                  , 3                   , Secondary Out       ,
 10                  , 3                   , Liquid              ,
 10                  , 3                   , Vapor               ,
 10                  , 3                   , Water               ,
 10                  , 3                   , Adsorbed            ,
 10                  , 3                   , Inflow              ,
 10                  , 3                   , Outflow             ,
 10                  , 3                   , Top Outflow Layer   ,
 10                  , 3                   , Sid Outflow Layer   ,
 9                   , 4                   , Remaining           ,
 9                   , 4                   , Primary             ,
 9                   , 4                   , Secondary In        ,
 9                   , 4                   , Secondary Out       ,
 9                   , 4                   , Liquid              ,
 9                   , 4                   , Vapor               ,
 9                   , 4                   , Water               ,
 9                   , 4                   , Adsorbed            ,
 9                   , 4                   , Inflow              ,
 9                   , 4                   , Outflow             ,
 9                   , 4                   , Top Outflow Layer   ,
 9                   , 4                   , Sid Outflow Layer   ,
 8                   , 5                   , Remaining           ,
 8                   , 5                   , Primary             ,
 8                   , 5                   , Secondary In        ,
 8                   , 5                   , Secondary Out       ,
 8                   , 5                   , Liquid              ,
 8                   , 5                   , Vapor               ,
 8                   , 5                   , Water               ,
 8                   , 5                   , Adsorbed            ,
 8                   , 5                   , Inflow              ,
 8                   , 5                   , Outflow             ,
 8                   , 5                   , Top Outflow Layer   ,
 8                   , 5                   , Sid Outflow Layer   ,
 7                   , 6                   , Remaining           ,
 7                   , 6                   , Primary             ,
 7                   , 6                   , Secondary In        ,
 7                   , 6                   , Secondary Out       ,
 7                   , 6                   , Liquid              ,
 7                   , 6                   , Vapor               ,
 7                   , 6                   , Water               ,
 7                   , 6                   , Adsorbed            ,
 7                   , 6                   , Inflow              ,
 7                   , 6                   , Outflow             ,
 7                   , 6                   , Top Outflow Layer   ,
 7                   , 6                   , Sid Outflow Layer   ,
 6                   , 14                  , Remaining           ,
 6                   , 14                  , Primary             ,
 6                   , 14                  , Secondary In        ,
 6                   , 14                  , Secondary Out       ,
 6                   , 14                  , Liquid              ,
 6                   , 14                  , Vapor               ,
 6                   , 14                  , Water               ,
 6                   , 14                  , Adsorbed            ,
 6                   , 14                  , Inflow              ,
 6                   , 14                  , Outflow             ,
 6                   , 14                  , Top Outflow Layer   ,
 6                   , 14                  , Sid Outflow Layer   ,
 5                   , 13                  , Remaining           ,
 5                   , 13                  , Primary             ,
 5                   , 13                  , Secondary In        ,
 5                   , 13                  , Secondary Out       ,
 5                   , 13                  , Liquid              ,
 5                   , 13                  , Vapor               ,
 5                   , 13                  , Water               ,
 5                   , 13                  , Adsorbed            ,
 5                   , 13                  , Inflow              ,
 5                   , 13                  , Outflow             ,
 5                   , 13                  , Top Outflow Layer   ,
 5                   , 13                  , Sid Outflow Layer   ,
 4                   , 7                   , Remaining           ,
 4                   , 7                   , Primary             ,
 4                   , 7                   , Secondary In        ,
 4                   , 7                   , Secondary Out       ,
 4                   , 7                   , Liquid              ,
 4                   , 7                   , Vapor               ,
 4                   , 7                   , Water               ,
 4                   , 7                   , Adsorbed            ,
 4                   , 7                   , Inflow              ,
 4                   , 7                   , Outflow             ,
 4                   , 7                   , Top Outflow Layer   ,
 4                   , 7                   , Sid Outflow Layer   ,
 3                   , 8                   , Remaining           ,
 3                   , 8                   , Primary             ,
 3                   , 8                   , Secondary In        ,
 3                   , 8                   , Secondary Out       ,
 3                   , 8                   , Liquid              ,
 3                   , 8                   , Vapor               ,
 3                   , 8                   , Water               ,
 3                   , 8                   , Adsorbed            ,
 3                   , 8                   , Inflow              ,
 3                   , 8                   , Outflow             ,
 3                   , 8                   , Top Outflow Layer   ,
 3                   , 8                   , Sid Outflow Layer   ,
 2                   , 9                   , Remaining           ,
 2                   , 9                   , Primary             ,
